rainfall,humidity,soil_moisture,slope_angle,soil_type,temperature,earthquake_intensity,elevation,vegetation_density,water_level,risk_level
125.5,78.2,65.3,35.4,clay,25.1,3.5,1200.0,55.0,2.5,HIGH
45.3,52.1,38.2,15.2,sand,22.5,1.2,800.0,75.0,1.5,LOW
89.7,68.9,52.1,42.3,silt,18.3,2.8,1500.0,45.0,1.8,MEDIUM
156.2,82.5,78.9,48.5,clay,16.7,4.1,1800.0,35.0,3.2,HIGH
32.1,45.3,28.5,12.1,rock,28.9,0.5,950.0,85.0,0.8,LOW
98.5,71.2,55.6,38.2,sand,21.4,2.3,1350.0,50.0,2.1,MEDIUM
142.3,80.1,72.5,45.8,clay,19.2,3.9,1650.0,40.0,2.8,HIGH
28.7,40.5,25.2,10.3,rock,30.2,0.3,700.0,90.0,0.5,LOW
115.8,76.5,62.1,40.1,silt,20.5,3.2,1450.0,48.0,2.4,MEDIUM
168.9,85.3,81.2,50.2,clay,15.8,4.5,1900.0,30.0,3.5,HIGH
38.2,48.9,32.1,14.5,sand,26.8,0.8,850.0,82.0,1.2,LOW
92.3,69.5,51.8,36.7,silt,22.1,2.6,1300.0,52.0,1.9,MEDIUM
135.7,79.8,70.2,43.5,clay,18.9,3.7,1600.0,38.0,2.6,HIGH
25.5,42.1,24.5,9.8,rock,31.5,0.2,650.0,92.0,0.4,LOW
105.4,73.2,58.9,37.9,sand,23.7,2.9,1250.0,58.0,2.0,MEDIUM
148.6,81.5,74.3,46.2,clay,17.3,4.2,1700.0,36.0,2.9,HIGH
35.8,46.7,30.5,13.2,silt,28.5,0.6,900.0,88.0,1.1,LOW
122.1,77.9,64.5,41.3,sand,21.9,3.4,1500.0,46.0,2.3,MEDIUM
158.3,83.8,77.6,49.1,clay,16.2,4.3,1850.0,32.0,3.1,HIGH
30.2,44.3,27.8,11.5,rock,29.8,0.4,750.0,87.0,0.7,LOW
110.5,75.1,61.2,39.5,silt,22.8,3.1,1400.0,50.0,2.2,MEDIUM
140.9,80.6,72.8,44.8,clay,18.5,3.8,1650.0,39.0,2.7,HIGH
42.7,50.2,34.5,15.8,sand,25.2,1.0,920.0,80.0,1.3,LOW
88.6,67.8,50.5,35.2,silt,23.5,2.4,1200.0,54.0,1.7,MEDIUM
162.5,84.2,79.1,50.5,clay,15.9,4.6,1950.0,28.0,3.4,HIGH
28.9,41.8,26.1,10.2,rock,30.9,0.3,680.0,91.0,0.6,LOW
98.3,72.5,57.8,38.1,sand,24.1,2.7,1320.0,56.0,2.0,MEDIUM
145.2,81.2,73.5,45.5,clay,17.8,4.0,1720.0,37.0,2.8,HIGH
33.5,47.6,31.2,13.9,silt,27.2,0.7,880.0,86.0,1.0,LOW
108.7,74.3,60.1,37.8,clay,22.5,3.0,1380.0,52.0,2.1,MEDIUM
155.8,83.5,78.2,48.8,sand,16.5,4.4,1800.0,31.0,3.2,HIGH
26.3,43.2,25.5,10.5,rock,30.2,0.25,720.0,89.0,0.55,LOW
95.2,71.1,53.9,36.4,silt,23.8,2.5,1280.0,51.0,1.8,MEDIUM
138.5,79.9,71.5,42.9,clay,19.3,3.6,1580.0,41.0,2.5,HIGH
39.1,49.5,33.8,14.8,sand,26.4,0.9,910.0,81.0,1.2,LOW
115.3,76.8,63.2,40.5,silt,21.7,3.3,1420.0,49.0,2.3,MEDIUM
152.1,82.7,76.5,47.3,clay,16.9,4.2,1780.0,34.0,3.0,HIGH
31.8,45.9,28.9,12.3,rock,29.5,0.5,770.0,85.0,0.9,LOW
102.6,73.9,59.5,38.7,sand,23.3,2.8,1360.0,55.0,2.1,MEDIUM
148.9,81.8,74.8,46.7,clay,17.6,4.1,1750.0,38.0,2.9,HIGH
36.7,48.2,32.3,14.1,silt,27.8,0.65,895.0,83.0,1.05,LOW
120.5,77.2,64.1,41.8,sand,22.1,3.2,1480.0,47.0,2.25,MEDIUM
160.2,84.1,78.9,49.5,clay,15.8,4.5,1920.0,29.0,3.3,HIGH
29.4,43.7,26.7,10.9,rock,30.5,0.35,700.0,90.0,0.65,LOW
105.8,74.6,61.5,37.2,silt,24.0,2.9,1300.0,53.0,1.95,MEDIUM
143.7,80.3,72.2,44.2,clay,18.8,3.7,1630.0,40.0,2.65,HIGH
37.9,49.8,33.5,14.5,sand,25.9,0.95,930.0,79.0,1.25,LOW
98.1,72.8,56.8,36.9,clay,23.6,2.6,1270.0,57.0,1.85,MEDIUM
155.5,83.2,77.3,48.1,sand,16.7,4.3,1850.0,32.0,3.1,HIGH
